Provinsi_ID,Kabupaten_ID,Nama Kabupaten
13,1372,KOTA SOLOK
13,1373,KOTA SAWAHLUNTO
13,1374,KOTA PADANG PANJANG
13,1375,KOTA BUKIT TINGGI
13,1376,KOTA PAYAKUMBUH
13,1377,KOTA PARIAMAN
14,1401,KABUPATEN KUANTAN SINGINGI
14,1402,KABUPATEN INDRAGIRI HULU
14,1403,KABUPATEN INDRAGIRI HILIR
14,1404,KABUPATEN PELALAWAN
14,1405,KABUPATEN SIAK
14,1406,KABUPATEN KAMPAR
14,1407,KABUPATEN ROKAN HULU
14,1408,KABUPATEN BENGKALIS
14,1409,KABUPATEN ROKAN HILIR
14,1410,KABUPATEN KEPULAUAN MERANTI
14,1471,KOTA PEKANBARU
14,1473,KOTA DUMAI
15,1501,KABUPATEN KERINCI
15,1502,KABUPATEN MERANGIN
15,1503,KABUPATEN SAROLANGUN
15,1504,KABUPATEN BATANGHARI
15,1505,KABUPATEN MUARO JAMBI
15,1506,KABUPATEN TANJUNG JABUNG TIMUR
15,1507,KABUPATEN TANJUNG JABUNG BARAT
15,1508,KABUPATEN TEBO
15,1509,KABUPATEN BUNGO
15,1571,KOTA JAMBI
15,1572,KOTA SUNGAI PENUH
16,1601,KABUPATEN OGAN KOMERING ULU
16,1602,KABUPATEN OGAN KOMERING ILIR
16,1603,KABUPATEN MUARA ENIM
16,1604,KABUPATEN LAHAT
16,1605,KABUPATEN MUSI RAWAS
16,1606,KABUPATEN MUSI BANYUASIN
16,1607,KABUPATEN BANYUASIN
16,1608,KABUPATEN OGAN KOMERING ULU SELATAN
16,1609,KABUPATEN OGAN KOMERING ULU TIMUR
16,1610,KABUPATEN OGAN ILIR
16,1611,KABUPATEN EMPAT LAWANG
16,1671,KOTA PALEMBANG
16,1672,KOTA PRABUMULIH
16,1673,KOTA PAGAR ALAM
16,1674,KOTA LUBUK LINGGAU
17,1701,KABUPATEN BENGKULU SELATAN
17,1702,KABUPATEN REJANG LEBONG
17,1703,KABUPATEN BENGKULU UTARA
17,1704,KABUPATEN KAUR
17,1705,KABUPATEN SELUMA
17,1706,KABUPATEN MUKOMUKO
17,1707,KABUPATEN LEBONG
17,1708,KABUPATEN KEPAHIANG
17,1709,KABUPATEN BENGKULU TENGAH
17,1771,KOTA BENGKULU
18,1801,KABUPATEN LAMPUNG BARAT
18,1802,KABUPATEN TANGGAMUS
18,1803,KABUPATEN LAMPUNG SELATAN
18,1804,KABUPATEN LAMPUNG TIMUR
18,1805,KABUPATEN LAMPUNG TENGAH
18,1806,KABUPATEN LAMPUNG UTARA
18,1807,KABUPATEN WAY KANAN
18,1808,KABUPATEN TULANGBAWANG
18,1809,KABUPATEN PESAWARAN
18,1810,KABUPATEN PRINGSEWU
18,1811,KABUPATEN MESUJI
18,1812,KABUPATEN TULANG BAWANG BARAT
18,1813,KABUPATEN PESISIR BARAT
18,1871,KOTA BANDAR LAMPUNG
18,1872,KOTA METRO
19,1901,KABUPATEN BANGKA
19,1902,KABUPATEN BELITUNG
19,1903,KABUPATEN BANGKA BARAT
19,1904,KABUPATEN BANGKA TENGAH
19,1905,KABUPATEN BANGKA SELATAN
19,1906,KABUPATEN BELITUNG TIMUR
19,1971,KOTA PANGKALPINANG
21,2101,KABUPATEN KARIMUN
21,2102,KABUPATEN BINTAN
21,2103,KABUPATEN NATUNA
21,2104,KABUPATEN LINGGA
21,2105,KABUPATEN KEPULAUAN ANAMBAS
21,2171,KOTA BATAM
21,2172,KOTA TANJUNG PINANG
31,3171,KOTA JAKARTA PUSAT
31,3172,KOTA JAKARTA UTARA
31,3173,KOTA JAKARTA BARAT
31,3174,KOTA JAKARTA SELATAN
31,3175,KOTA JAKARTA TIMUR
31,3101,DKI JAKARTA
32,3201,KABUPATEN BOGOR
32,3202,KABUPATEN SUKABUMI
32,3203,KABUPATEN CIANJUR
32,3204,KABUPATEN BANDUNG
32,3205,KABUPATEN GARUT
32,3206,KABUPATEN TASIKMALAYA
32,3207,KABUPATEN CIAMIS
32,3208,KABUPATEN KUNINGAN
32,3209,KABUPATEN CIREBON
32,3210,KABUPATEN MAJALENGKA
32,3211,KABUPATEN SUMEDANG
32,3212,KABUPATEN INDRAMAYU
32,3213,KABUPATEN SUBANG
32,3214,KABUPATEN PURWAKARTA
32,3215,KABUPATEN KARAWANG
32,3216,KABUPATEN BEKASI
32,3217,KABUPATEN BANDUNG BARAT
32,3218,KABUPATEN PANGANDARAN
32,3271,KOTA BOGOR
32,3272,KOTA SUKABUMI
32,3273,KOTA BANDUNG
32,3274,KOTA CIREBON
32,3275,KOTA BEKASI
32,3276,KOTA DEPOK
32,3277,KOTA CIMAHI
32,3278,KOTA TASIKMALAYA
32,3279,KOTA BANJAR
33,3320,KABUPATEN JEPARA
33,3301,KABUPATEN CILACAP
33,3302,KABUPATEN BANYUMAS
33,3303,KABUPATEN PURBALINGGA
33,3304,KABUPATEN BANJARNEGARA
33,3305,KABUPATEN KEBUMEN
33,3306,KABUPATEN PURWOREJO
33,3307,KABUPATEN WONOSOBO
33,3308,KABUPATEN MAGELANG
33,3309,KABUPATEN BOYOLALI
33,3310,KABUPATEN KLATEN
33,3311,KABUPATEN SUKOHARJO
33,3312,KABUPATEN WONOGIRI
33,3313,KABUPATEN KARANGANYAR
33,3314,KABUPATEN SRAGEN
33,3315,KABUPATEN GROBOGAN
33,3316,KABUPATEN BLORA
33,3317,KABUPATEN REMBANG
33,3318,KABUPATEN PATI
33,3319,KABUPATEN KUDUS
33,3321,KABUPATEN DEMAK
33,3322,KABUPATEN SEMARANG
33,3323,KABUPATEN TEMANGGUNG
33,3324,KABUPATEN KENDAL
33,3325,KABUPATEN BATANG
33,3326,KABUPATEN PEKALONGAN
33,3327,KABUPATEN PEMALANG
33,3328,KABUPATEN TEGAL
33,3329,KABUPATEN BREBES
33,3371,KOTA MAGELANG
33,3372,KOTA SURAKARTA
33,3373,KOTA SALATIGA
33,3374,KOTA SEMARANG
33,3375,KOTA PEKALONGAN
33,3376,KOTA TEGAL
34,3401,KABUPATEN KULONPROGO
34,3402,KABUPATEN BANTUL
34,3403,KABUPATEN GUNUNG KIDUL
34,3404,KABUPATEN SLEMAN
34,3471,KOTA YOGYAKARTA
35,3501,KABUPATEN PACITAN
35,3502,KABUPATEN PONOROGO
35,3503,KABUPATEN TRENGGALEK
35,3504,KABUPATEN TULUNGAGUNG
35,3505,KABUPATEN BLITAR
35,3506,KABUPATEN KEDIRI
35,3507,KABUPATEN MALANG
35,3508,KABUPATEN LUMAJANG
35,3509,KABUPATEN JEMBER
35,3510,KABUPATEN BANYUWANGI
35,3511,KABUPATEN BONDOWOSO
35,3512,KABUPATEN SITUBONDO
35,3513,KABUPATEN PROBOLINGGO
35,3514,KABUPATEN PASURUAN
35,3515,KABUPATEN SIDOARJO
35,3516,KABUPATEN MOJOKERTO
35,3517,KABUPATEN JOMBANG
35,3518,KABUPATEN NGANJUK
35,3519,KABUPATEN MADIUN
35,3520,KABUPATEN MAGETAN
35,3521,KABUPATEN NGAWI
35,3522,KABUPATEN BOJONEGORO
35,3523,KABUPATEN TUBAN
35,3524,KABUPATEN LAMONGAN
35,3525,KABUPATEN GRESIK
35,3526,KABUPATEN BANGKALAN
35,3527,KABUPATEN SAMPANG
35,3528,KABUPATEN PAMEKASAN
35,3529,KABUPATEN SUMENEP
35,3571,KOTA KEDIRI
35,3572,KOTA BLITAR
35,3573,KOTA MALANG
35,3574,KOTA PROBOLINGGO
35,3575,KOTA PASURUAN
35,3576,KOTA MOJOKERTO
35,3577,KOTA MADIUN
35,3578,KOTA SURABAYA
35,3579,KOTA BATU
36,3601,KABUPATEN PANDEGLANG
36,3602,KABUPATEN LEBAK
36,3603,KABUPATEN TANGERANG
36,3604,KABUPATEN SERANG
36,3605,KOTA TANGGERANG
36,3606,KOTA CILEGON
36,3671,KOTA TANGERANG
36,3672,KOTA CILEGON
36,3673,KOTA SERANG
36,3674,KOTA TANGERANG SELATAN
51,5101,KABUPATEN JEMBRANA
51,5102,KABUPATEN TABANAN
51,5103,KABUPATEN BADUNG
51,5104,KABUPATEN GIANYAR
51,5105,KABUPATEN KLUNGKUNG
51,5106,KABUPATEN BANGLI
51,5107,KABUPATEN KARANG ASEM
51,5108,KABUPATEN BULELENG
51,5171,KOTA DENPASAR
